name	defined	refCount	sampleRef
useVault	C:\Dev\Projects\JotFolio\source\src\features\vault\useVault.js:25	14	C:\Dev\Projects\JotFolio\source\src\App.jsx:18
VaultPicker	C:\Dev\Projects\JotFolio\source\src\features\vault\VaultPicker.jsx:12	2	C:\Dev\Projects\JotFolio\source\src\features\settings\SettingsPanel.jsx:13
NotesRail	C:\Dev\Projects\JotFolio\source\src\features\workstation\NotesRail.jsx:171	3	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkspaceContextRail.notes.test.jsx:25
WorkspaceTopBar	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkspaceTopBar.jsx:60	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:31
CommandCenterView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:657	7	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:12
GlobalSearchView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:2082	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:13
InboxView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:2315	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:14
ProjectsView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:3222	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:15
TasksView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:3380	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:18
CalendarView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:3620	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:11
SpacesView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:4018	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:16
TagManagerView	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:4346	2	C:\Dev\Projects\JotFolio\source\src\features\shell\AppRouteContent.jsx:17
VaultStatusBar	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:4396	2	C:\Dev\Projects\JotFolio\source\src\App.jsx:29
WorkspaceContextRail	C:\Dev\Projects\JotFolio\source\src\features\workstation\WorkstationViews.jsx:4452	5	C:\Dev\Projects\JotFolio\source\src\App.jsx:28
