name	defined	refCount	sampleRef
parseBundle	C:\Dev\Projects\JotFolio\source\src\lib\exports\bundle.js:66	6	C:\Dev\Projects\JotFolio\source\src\lib\exports.js:4
useSemanticIndex	C:\Dev\Projects\JotFolio\source\src\lib\hooks\useSemanticIndex.js:22	4	C:\Dev\Projects\JotFolio\source\src\App.jsx:14
RELATIONSHIP_DECISIONS_STORAGE_KEY	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:1	0
RELATIONSHIP_DECISION_STATUSES	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:2	0
relationshipDecisionKey	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:12	0
setRelationshipDecision	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:25	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:9
clearRelationshipDecision	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:44	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:5
relationshipDecisionStatus	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:51	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:7
parseRelationshipDecisions	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:55	0
serializeRelationshipDecisions	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:66	0
loadRelationshipDecisions	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:70	2	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:6
saveRelationshipDecisions	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipDecisions.js:78	3	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:8
RELATIONSHIP_REVIEW_STORAGE_KEY	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:3	0
RELATIONSHIP_REVIEW_STATUSES	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:4	0
RELATIONSHIP_REVIEW_KINDS	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:5	0
relationshipReviewKey	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:31	0
createRelationshipReview	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:72	0
applyRelationshipReview	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:121	0
undoRelationshipReview	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:156	0
rejectRelationshipReview	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:172	0
parseRelationshipReviewLedger	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:186	0
serializeRelationshipReviewLedger	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:197	0
loadRelationshipReviewLedger	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:201	0
saveRelationshipReviewLedger	C:\Dev\Projects\JotFolio\source\src\lib\index\relationshipReview.js:209	0
createLookupMaps	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:50	2	C:\Dev\Projects\JotFolio\source\src\lib\templates\templateBacklinks.js:2
resolveEntryLinks	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:85	0
buildVaultIndex	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:114	30	C:\Dev\Projects\JotFolio\source\src\App.jsx:62
getUnresolvedTargets	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:192	0
getBacklinks	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:206	11	C:\Dev\Projects\JotFolio\source\src\features\constellation\MemoryDetailPanel.jsx:3
getNeighbors	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:210	0
getCluster	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:229	4	C:\Dev\Projects\JotFolio\source\src\lib\compile\compile.js:6
searchWiki	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:235	0
searchRaw	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:245	0
getAffinityMatches	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:255	0
getMemoryHealth	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:269	0
getRelationshipScan	C:\Dev\Projects\JotFolio\source\src\lib\index\vaultIndex.js:282	4	C:\Dev\Projects\JotFolio\source\src\features\constellation\ConstellationView.jsx:3
escapeRegex	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\applyRules.js:7	0
applyRules	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\applyRules.js:43	10	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:4
OPT_OUTS_PATH	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:25	0
loadOptOuts	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:36	3	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:3
saveOptOuts	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:81	3	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:3
addOptOut	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:120	3	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:3
removeOptOut	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:146	0
getOptOutsForEntry	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\optOutTracker.js:167	3	C:\Dev\Projects\JotFolio\source\src\lib\keywordRules\useKeywordRules.js:3
